Csec_ID,GeneID,proteinID,domain,annotation,GO
Csec_G17659,B7P43_G17659,PNF22002.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN,Ribonuclease H superfamily,GO:0003676|NA
Csec_G17934,B7P43_G17934,PNF43131.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN,Ribonuclease H superfamily,GO:0003676|NA
Csec_G17937,B7P43_G17937,PNF42668.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN,Ribonuclease H superfamily,GO:0003676|NA
Csec_G17957,B7P43_G17957,PNF31030.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN,Ribonuclease H superfamily,GO:0003676|NA
Csec_G18064,B7P43_G18064,PNF28929.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN,Ribonuclease H superfamily,GO:0003676|NA
Csec_G18395,B7P43_G18395,PNF16795.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN,Ribonuclease H superfamily,GO:0003676|NA
Csec_G18472,B7P43_G18472,PNF32959.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN,Ribonuclease H superfamily,GO:0003676|NA
Csec_G06597,B7P43_G06597,PNF17203.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Coil,Ribonuclease H superfamily,GO:0003676|NA
Csec_G11296,B7P43_G11296,PNF19075.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Coil,Ribonuclease H superfamily,GO:0003676|NA
Csec_G18450,B7P43_G18450,PNF15432.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Coil,Ribonuclease H superfamily,GO:0003676|NA
Csec_G00383,B7P43_G00383,PNF37140.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,NA|GO:0003676
Csec_G00906,B7P43_G00906,PNF43978.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,NA|GO:0003676
Csec_G01919,B7P43_G01919,PNF29555.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,NA|GO:0003676
Csec_G03097,B7P43_G03097,PNF42589.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,NA|GO:0003676
Csec_G04238,B7P43_G04238,PNF30074.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,NA|GO:0003676
Csec_G06680,B7P43_G06680,PNF23124.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,NA|GO:0003676
Csec_G07028,B7P43_G07028,PNF14809.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,NA|GO:0003676
Csec_G07226,B7P43_G07226,PNF33864.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,NA|GO:0003676
Csec_G08390,B7P43_G08390,PNF36917.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,NA|GO:0003676
Csec_G14100,B7P43_G14100,PNF21428.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,NA|GO:0003676
Csec_G14833,B7P43_G14833,PNF40927.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,NA|GO:0003676
Csec_G14892,B7P43_G14892,PNF43266.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,NA|GO:0003676
Csec_G01681,B7P43_G01681,PNF14435.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,GO:0003676|NA
Csec_G06857,B7P43_G06857,PNF35252.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,GO:0003676|NA
Csec_G08132,B7P43_G08132,PNF20424.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,GO:0003676|NA
Csec_G17274,B7P43_G17274,PNF34249.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|consensus disorder prediction,Ribonuclease H superfamily,GO:0003676|NA
Csec_G13464,B7P43_G13464,PNF38204.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|DDE superfamily endonuclease,"Ribonuclease H superfamily|Tc1-like transposase, DDE domain",NA|GO:0003676|-
Csec_G00698,B7P43_G00698,PNF43644.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|DDE superfamily endonuclease|HTH domain in Mos1 transposase,"Tc1-like transposase, DDE domain|Mos1 transposase, HTH domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G04813,B7P43_G04813,PNF35315.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|DDE superfamily endonuclease|HTH domain in Mos1 transposase,"Tc1-like transposase, DDE domain|Mos1 transposase, HTH domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G08996,B7P43_G08996,PNF18472.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Homeodomain-like,Ribonuclease H superfamily|Homeobox-like domain superfamily,GO:0003676|NA|-
Csec_G09006,B7P43_G09006,PNF18456.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Homeodomain-like domain,Ribonuclease H superfamily,GO:0003676|NA
Csec_G12155,B7P43_G12155,PNF30463.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Homeodomain-like domain,Ribonuclease H superfamily,GO:0003676|NA
Csec_G06995,B7P43_G06995,PNF25045.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Mos1 transposase, HTH domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G07786,B7P43_G07786,PNF15915.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G13007,B7P43_G13007,PNF41985.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G17979,B7P43_G17979,PNF35649.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G02222,B7P43_G02222,PNF17873.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G15579,B7P43_G15579,PNF15130.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G08860,B7P43_G08860,PNF36905.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Mos1 transposase, HTH domain",NA|-
Csec_G02465,B7P43_G02465,PNF32541.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Mos1 transposase, HTH domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G04958,B7P43_G04958,PNF23576.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Mos1 transposase, HTH domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G06426,B7P43_G06426,PNF16630.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Mos1 transposase, HTH domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G06451,B7P43_G06451,PNF28779.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Mos1 transposase, HTH domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G08352,B7P43_G08352,PNF14748.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Mos1 transposase, HTH domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G11385,B7P43_G11385,PNF33235.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Mos1 transposase, HTH domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G13456,B7P43_G13456,PNF43416.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Mos1 transposase, HTH domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G14154,B7P43_G14154,PNF25730.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Mos1 transposase, HTH domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G16519,B7P43_G16519,PNF29631.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Mos1 transposase, HTH domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G17675,B7P43_G17675,PNF26790.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Mos1 transposase, HTH domain|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G01302,B7P43_G01302,PNF39208.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G02294,B7P43_G02294,PNF35991.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G03588,B7P43_G03588,PNF14019.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G03862,B7P43_G03862,PNF41148.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G04053,B7P43_G04053,PNF38470.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G04233,B7P43_G04233,PNF30090.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G05469,B7P43_G05469,PNF34678.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G05686,B7P43_G05686,PNF33352.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G09167,B7P43_G09167,PNF25406.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G09433,B7P43_G09433,PNF35838.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G09973,B7P43_G09973,PNF19983.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G10139,B7P43_G10139,PNF37800.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G10655,B7P43_G10655,PNF13900.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G10817,B7P43_G10817,PNF19091.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G12286,B7P43_G12286,PNF19892.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G13006,B7P43_G13006,PNF41986.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G13839,B7P43_G13839,PNF36600.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G15767,B7P43_G15767,PNF31107.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G16594,B7P43_G16594,PNF15526.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G16835,B7P43_G16835,PNF26849.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G17425,B7P43_G17425,PNF35685.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G17845,B7P43_G17845,PNF36377.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G18320,B7P43_G18320,PNF28924.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G08953,B7P43_G08953,PNF29274.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase|Coil,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G06641,B7P43_G06641,PNF28257.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase|Coil,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|GO:0003676|-
Csec_G00693,B7P43_G00693,PNF43640.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase|consensus disorder prediction,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G01866,B7P43_G01866,PNF32944.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase|DDE superfamily endonuclease,"Ribonuclease H superfamily|Mos1 transposase, HTH domain|Tc1-like transposase, DDE domain",NA|GO:0003676|-
Csec_G01287,B7P43_G01287,PNF42608.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase|Transposase (partial DDE domain),"Mos1 transposase, HTH domain|Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G16249,B7P43_G16249,PNF32315.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|HTH domain in Mos1 transposase|Winged helix-turn-helix DNA-binding,"Ribonuclease H superfamily|Mos1 transposase, HTH domain",GO:0003676|NA|-
Csec_G09069,B7P43_G09069,PNF17099.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|P-loop containing nucleoside triphosphate hydrolases,Ribonuclease H superfamily|P-loop containing nucleoside triphosphate hydrolase,GO:0003676|-|NA
Csec_G18134,B7P43_G18134,PNF15442.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Ribonuclease H-like,Ribonuclease H superfamily|Ribonuclease H-like superfamily,NA|GO:0003676|-
Csec_G05744,B7P43_G05744,PNF32078.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G00892,B7P43_G00892,PNF27930.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G11157,B7P43_G11157,PNF36764.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G11512,B7P43_G11512,PNF22599.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G13975,B7P43_G13975,PNF26533.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G06496,B7P43_G06496,PNF33903.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G05945,B7P43_G05945,PNF20025.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G10082,B7P43_G10082,PNF32388.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G00941,B7P43_G00941,PNF15400.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G13210,B7P43_G13210,PNF20339.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G09701,B7P43_G09701,PNF20394.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G00914,B7P43_G00914,PNF43973.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G02600,B7P43_G02600,PNF41810.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",NA|GO:0003676|-
Csec_G02687,B7P43_G02687,PNF26278.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G02822,B7P43_G02822,PNF39838.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G02956,B7P43_G02956,PNF17441.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",NA|GO:0003676|-
Csec_G04735,B7P43_G04735,PNF43053.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G05501,B7P43_G05501,PNF42241.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G05865,B7P43_G05865,PNF34637.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",NA|GO:0003676|-
Csec_G06200,B7P43_G06200,PNF37899.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",NA|GO:0003676|-
Csec_G07269,B7P43_G07269,PNF29904.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G07468,B7P43_G07468,PNF15957.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G08263,B7P43_G08263,PNF40177.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G08724,B7P43_G08724,PNF28641.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",NA|GO:0003676|-
Csec_G09634,B7P43_G09634,PNF36801.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G10686,B7P43_G10686,PNF36184.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",NA|GO:0003676|-
Csec_G11769,B7P43_G11769,PNF39445.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G12727,B7P43_G12727,PNF21592.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",NA|GO:0003676|-
Csec_G13588,B7P43_G13588,PNF24291.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G13766,B7P43_G13766,PNF43745.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G16600,B7P43_G16600,PNF22853.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",NA|GO:0003676|-
Csec_G16822,B7P43_G16822,PNF34274.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G16882,B7P43_G16882,PNF27435.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G17523,B7P43_G17523,PNF18227.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G17875,B7P43_G17875,PNF21974.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G03085,B7P43_G03085,PNF24602.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G05809,B7P43_G05809,PNF20035.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G10549,B7P43_G10549,PNF19097.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G10582,B7P43_G10582,PNF22035.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G15510,B7P43_G15510,PNF32638.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain),"Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G09067,B7P43_G09067,PNF17151.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain)|consensus disorder prediction,"Ribonuclease H superfamily|Transposase, type 1",GO:0003676|NA|-
Csec_G06298,B7P43_G06298,PNF20516.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain)|consensus disorder prediction,"Transposase, type 1|Ribonuclease H superfamily",NA|-|GO:0003676
Csec_G08284,B7P43_G08284,PNF40213.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain)|Homeodomain-like,"Transposase, type 1|Ribonuclease H superfamily|Homeobox-like domain superfamily",NA|-|GO:0003676
Csec_G00898,B7P43_G00898,PNF43951.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain)|HTH domain in Mos1 transposase,"Transposase, type 1|Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|-|GO:0003676
Csec_G01266,B7P43_G01266,PNF30137.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain)|HTH domain in Mos1 transposase,"Transposase, type 1|Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|-|GO:0003676
Csec_G01323,B7P43_G01323,PNF39139.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain)|HTH domain in Mos1 transposase,"Transposase, type 1|Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|-|GO:0003676
Csec_G05152,B7P43_G05152,PNF14870.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain)|HTH domain in Mos1 transposase,"Transposase, type 1|Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|-|GO:0003676
Csec_G06336,B7P43_G06336,PNF14826.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain)|HTH domain in Mos1 transposase,"Transposase, type 1|Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|-|GO:0003676
Csec_G06855,B7P43_G06855,PNF35254.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain)|HTH domain in Mos1 transposase,"Transposase, type 1|Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|-|GO:0003676
Csec_G07598,B7P43_G07598,PNF28197.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain)|HTH domain in Mos1 transposase,"Transposase, type 1|Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|-|GO:0003676
Csec_G07649,B7P43_G07649,PNF35196.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain)|HTH domain in Mos1 transposase,"Transposase, type 1|Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|-|GO:0003676
Csec_G08970,B7P43_G08970,PNF38363.1,MARINER MOS1 TRANSPOSASE-LIKE PROTEIN|Transposase (partial DDE domain)|HTH domain in Mos1 transposase,"Transposase, type 1|Ribonuclease H superfamily|Mos1 transposase, HTH domain",NA|-|GO:0003676
